nombre;descripcion;estrellas;ciudad;pais;lat;lon;chef;tipo_cocina_1
Brasserie Julie;Thomas Locus warmly welcomes you to his elegantly contemporary farmstead;1;Sint-Martens-Bodegem;Belgium;50.8611708;4.2126098;Thomas Locus;Home Cooking
Boo Raan;Boo Raan is the best Thai restaurant in Benelux. The;1;Knokke;Belgium;51.3397049;3.2893828;Dokkoon Kapueak;Thai
Bistrot du Nord;A lesson in tradition! The chef, an authentic craftsman, knows;1;Antwerpen;Belgium;51.227654;4.418618;Michael Rewers;Traditional Cuisine
Auberge de Herborist;A consummate herbalist, chef Hanbuckers sources his produce straight from;1;Sint-Andries;Belgium;51.1670423;3.1631717;Alex Hanbuckers;Market Cuisine
Au Gré du Vent;Stéphanie Thunus and her hubbie Sébastien have converted an old;1;Seneffe;Belgium;50.5161633;4.2619825;Stéphanie Thunus;Market Cuisine
Attablez-vous;Take a seat – as the restaurant’s name orders, and;1;Namur;Belgium;50.444706;4.8540444;Charles Jeandrain;Creative French
Arabelle Meirlaen;Intuition is the name of the game at Arabelle’s;1;Marchin;Belgium;50.4863858;5.2218357;Arabelle Meirlaen;Organic
Maison Marit;Dimitri Marit regales his clients with classical recipes in this;1;Braine-l'Alleud;Belgium;50.663044;4.3835317;Dimitri Marit;Classic French
Melchior;Old brick walls, high ceilings, designer furniture and graffiti on;1;Tienen;Belgium;50.8057149;4.9408248;Gilles Melchior;Creative French
OAK;Marcelo Ballardin leaves no detail to chance and each ingredient;1;Gent;Belgium;51.0560613;3.7109243;Marcelo Ballardin;World Cuisine
San Daniele;The Spinelli family has been pampering its guests with Italian;1;Ganshoren;Belgium;50.8682699;4.3133929;Franco Spinelli;Italian
Carcasse;You would be correct in expecting to find a restaurant;1;Sint-Idesbald;Belgium;51.1098794;2.6110544;;Meats and Grills
Les Pieds dans le Plat;A romantic restaurant, flanked by an engaging patio, where you;1;Marenne;Belgium;50.2397606;5.4107173;Jean-Michel Dienst;Classic Cuisine
Les Gourmands;Once a farmhouse, diners enjoy the traditional yet innovative cooking;1;Blaregnies;Belgium;50.360669;3.8873851;Lydia Glacé;Classic Cuisine
Hof Ter Hulst;The chef is fond of tradition, as attested by the;1;Hulshout;Belgium;51.0769653;4.793442;Johan Schroven;Classic Cuisine
Bar Bulot;Pieter Lefevere deploys his creativity to update family favourites. Under;1;Sint-Michiels;Belgium;51.1858823;3.1908111;Pieter Lefevere;Classic Cuisine
Arenberg;Book a table by the bay windows of the orangery;1;Heverlee;Belgium;50.8608425;4.6655965;Lieven Demeestere;Classic Cuisine
't Fornuis;’t Fornuis is a restaurant that has become rare;1;Antwerpen;Belgium;51.2190389;4.3994483;Johan Segers;Classic Cuisine
Philippe Meyers;Philippe Meyers cannot be faulted for his high - quality produce;1;Braine-l'Alleud;Belgium;50.6823016;4.3700555;Philippe Meyers;Modern French
Ogst;Ogst is the epitome of charming. A natural, Scandinavian-inspired;1;Hasselt;Belgium;50.9294564;5.3335502;Sébastien Wygaerts;Modern French
Nathan;Nathan Van Echelpoel skilfully balances classicism and modernity. In his;1;Antwerpen;Belgium;51.2231806;4.4027957;Nathan Van Echelpoel;Modern French
Michel;Michel’s elegant interior forms a delightful backdrop to the;1;Groot-Bijgaarden;Belgium;50.8716705;4.2674168;Robert Van Landeghem;Modern French
Le Pilori;The mission of this comfortable restaurant is to showcase produce;1;Écaussinnes-Lalaing;Belgium;50.5701335;4.1795447;Michel Van Cauwelaert;Modern French
Le Château de Strainchamps;This impressive old residence and estate is on the outskirts;1;Fauvillers;Belgium;49.879036;5.683136;Frans Vandeputte;Modern French
La Ligne Rouge;Quality is the guideline of this light, airy restaurant, flanked;1;Plancenoit;Belgium;50.6647798;4.4135615;Benjamin Laborie;Modern French
Hostellerie Gilain;Alain Gilain has indubitably found his path in Belgium’s;1;Sorinnes;Belgium;50.2562796;5.0377695;Alain Gilain;Modern French
Eyckerhof;Since its opening in 1987, Ferdy and Ann have made;1;Bornem;Belgium;51.0848511;4.2897743;Ferdy Debecker;Modern French
Colette - De Vijvers;Drive into this imposing private domain and admire the lake;1;Averbode;Belgium;51.0295141;4.9904679;Thijs Vervloet;Modern French
Bozar Restaurant;Chef Torosyan’s pork pie, the house speciality, is emblematic;1;Brussels;Belgium;50.8442546;4.3598443;Karen Torosyan;Modern French
Benoit en Bernard Dewitte;The delightful villa of the Dewitte brothers sports a country;1;Ouwegem;Belgium;50.9133244;3.606346;Benoit Dewitte;Modern French
Alain Bianchin;Alain Bianchin deploys the full gamut of his experience and;1;Overijse;Belgium;50.793583;4.4819428;Alain Bianchin;Modern French
't Truffeltje;This restaurant enjoys a fine reputation, exemplified by the chef;1;Dendermonde;Belgium;51.0310014;4.1026273;Paul Mariën;Modern French
senzanome;All the flavours and aromas of rich Italian, particularly Sicilian;1;Brussels;Belgium;50.8399741;4.3563943;Giovanni Bruno;Italian
L'Essentiel;This former tannery, set in an idyllic rural valley, has;1;Temploux;Belgium;50.4754247;4.7387117;Raphaël Adam;Creative French
Zet'Joe by Geert Van Hecke;Geert Van Hecke is a food mad, single - minded chef;1;Brugge;Belgium;51.2097162;3.2321611;Geert Van Hecke;Creative French
Vol-Ver;New life has been breathed into this restaurant, yet it;1;Marke;Belgium;50.7970808;3.2351421;Sébastien Ververken;Traditional Cuisine
The Butcher's son;The former De Koninck brewery is the perfect blend of;1;Antwerpen;Belgium;51.1994236;4.4157849;Bert-Jan Michielsen;Traditional Cuisine
Sans Cravate;Like an experienced downhill skier, Henk Van Oudenhove weaves between;1;Brugge;Belgium;51.2123748;3.2381662;Henk Van Oudenhove;Creative French
L'Envie;Should you feel like tasting the food of a creative;1;Sint-Denijs;Belgium;50.7499139;3.3705692;David Grosdent;Modern French
La Villa Emily;This little jewel combines intimate elegance and a boudoir ambience;1;Brussels;Belgium;50.8192768;4.3696742;;Mediterranean Cuisine
Cuines,33;The cosmopolitan Cuines, 33 is a hip eatery depicted by;1;Knokke;Belgium;51.3394371;3.2879658;Edwin Menue;Creative
Couvert Couvert;This restaurant offers a designer interior, modern terrace overlooking the;1;Heverlee;Belgium;50.8629609;4.6596864;Laurent Folmer;Creative
Altermezzo;You will immediately feel at home in the brazenly trendy;1;Tongeren;Belgium;50.8024317;5.4657753;Jo Grootaers;Creative
Zur Post;The Pankert family has been delighting food lovers for three;1;Saint Vith;Belgium;50.28043;6.12611;Eric Pankert;Modern Cuisine
Sir Kwinten;As soon as you enter this colourful historic townhouse, you;1;Sint-Kwintens-Lennik;Belgium;50.8056605;4.1554453;Glenn Verhasselt;Modern Cuisine
Publiek;This loft - inspired bistro, by Olly Ceulenaere, has decided to;1;Gent;Belgium;51.0577511;3.7329199;Olly Ceulenaere;Modern Cuisine
Magis;This historical house has an entirely refurbished, contemporary interior. The;1;Tongeren;Belgium;50.78176;5.4627023;Dimitry Lysens;Modern Cuisine
M-Bistro;A friendly bistro that gets down to business! The chef;1;Nieuwpoort;Belgium;51.129825;2.7525755;Mattias Maertens;Modern Cuisine
La Plage d'Amée;Tastefully remodelled on a holiday theme, this restaurant enjoys a;1;Jambes;Belgium;50.4375904;4.8643861;Julien Wauthier;Modern Cuisine
JER;JER meaning Just Eat Right! Modern cuisine served in a;1;Hasselt;Belgium;50.9308782;5.3405435;Wim Schildermans;Modern Cuisine
Hostellerie Vivendum;The subtle restoration of this 18C presbytery has done nothing;1;Dilsen;Belgium;51.0332406;5.7363626;Alex Clevers;Modern Cuisine
Goffin;Timothy Goffin, who works alone in the kitchen, has created;1;Sint-Kruis;Belgium;51.2119551;3.2417056;Timothy Goffin;Modern Cuisine
FRANQ;You only need to take one step over the threshold;1;Antwerpen;Belgium;51.2211509;4.4057647;Tim Meuleneire;Modern Cuisine
EED;Ambitious Philippe Heylen is proud of his house - made recipes;1;Leuven;Belgium;50.880639;4.7024848;Philippe Heylen;Modern Cuisine
De Zuidkant;De Zuidkant immediately makes you feel at home, from the;1;Damme;Belgium;51.2517769;3.2823561;Patrick van Hoorn;Modern Cuisine
De Pastorie;This 17C stately home can only be described as superb;1;Lichtaart;Belgium;51.2260206;4.9241458;Carl Wens;Modern Cuisine
De Kristalijn;A true pleasure for the eyes, this futuristic building was;1;Genk;Belgium;50.9696725;5.5534543;Koen Somers;Modern Cuisine
Chai Gourmand;Chef Pierre Massin’s talent has made this modern establishment;1;Beuzet;Belgium;50.5296583;4.7456131;Pierre Massin;Modern Cuisine
Centpourcent;Every day Axel and Anneleen seek to do better than;1;Sint-Katelijne-Waver;Belgium;51.0557914;4.463224;Axel Colonna-Cesari;Modern Cuisine
Bistro Racine;A casual vibe and good food depict the Racine, whose;1;Braine-le-Château;Belgium;50.6819781;4.2731124;Jimmy Collodoro;Modern Cuisine
Aux petits oignons;A contemporary restaurant in which no detail is left to;1;Jodoigne;Belgium;50.7418915;4.879794;Stéphane Lefebvre;Modern Cuisine
't Stoveke;The chef of 't Stoveke follows in the footsteps of;1;Strombeek-Bever;Belgium;50.9049469;4.3507766;Daniel Antuna;Modern Cuisine
't Overhamme;‘t Overhamme has been a fine dining establishment since;1;Aalst;Belgium;50.928478;4.0662034;Patrick Bogaert;Modern Cuisine
't Korennaer;Edwin Van Goethem jazzes up his cooking with international influences;1;Nieuwkerken-Waas;Belgium;51.1929468;4.1781069;Edwin Van Goethem;Modern Cuisine
De Mijlpaal;Nothing alerts you to the designer interior or the creative;1;Tongeren;Belgium;50.7803846;5.4616897;Jan Menten;Creative
De Vork van Luc Bellings;After moving to this smaller, cosier establishment, talented chef, Luc;1;Hasselt;Belgium;50.9005021;5.3563697;Luc Bellings;Creative
Den Gouden Harynck;Philippe Serruys’ cellar is the fruit of many long years;1;Brugge;Belgium;51.2047898;3.2258701;Philippe Serruys;Creative
Het Gebaar;This restaurant is located in an elegant building on the;1;Antwerpen;Belgium;51.2138901;4.4070787;Roger van Damme;Creative
Wine in the City;Wine in the City is more than a wine merchant;1;Jette;Belgium;50.8723531;4.3239267;Eddy Münster;Creative
Souvenir;Vilhjalmur Sigurdarson’s relationship with nature is highly personal and;1;Gent;Belgium;51.0496543;3.7322294;Vilhjalmur Hilmar Sigurdarson;Creative
Sel Gris;An unpretentious, modern restaurant on the seafront, where a young;1;Knokke;Belgium;51.344112;3.2563193;Frederik Deceuninck;Creative
Quadras;Ricarda Grommes’ feminine touch can be tasted as much in;1;Saint Vith;Belgium;50.28455;6.12227;Ricarda Grommes;Creative
Marcus;Gilles Joye takes our tastebuds on a world tour. His;1;Deerlijk;Belgium;50.8488967;3.3826144;Gilles Joye;Creative
Le Cor de Chasse;The character of this farmstead blends in wonderfully with the;1;Wéris;Belgium;50.32426;5.52895;Mario Elias;Creative
La Villa in the Sky;Taking a seat in this glass box, a full 120m;1;Ixelles;Belgium;50.8172484;4.3719736;Alexandre Dionisio;Creative
Kommilfoo;Smart yet casual, Kommilfoo will acquaint you with the creative;1;Antwerpen;Belgium;51.2111875;4.392667;Olivier de Vinck de Winnezeele;Creative
Innesto;Koen Verjans’s cuisine is eminently stylish, in keeping with;1;Houthalen;Belgium;51.0217641;5.3738466;Koen Verjans;Creative
Hostellerie Le Prieuré Saint-Géry;The rural setting of this former priory has been jazzed;1;Solre-Saint-Géry;Belgium;50.2176067;4.2434926;Vincent Gardinal;Creative
Philippe Fauchet;It isn’t easy to sum up Philippe Fauchet’s;1;Saint-Georges-sur-Meuse;Belgium;50.6096505;5.3712656;Philippe Fauchet;Creative
Le Pristine;Sergio Herman has added his signature to Le Pristine in;1;Antwerpen;Belgium;51.2154966;4.4051934;;Italian Contemporary
Bartholomeus;Bart Desmidt lets his imagination run riot at the Bartholomeus;2;Heist;Belgium;51.341769;3.2436215;Bart Desmidt & Philip Vandamme;Modern Cuisine
d'Eugénie à Emilie;This elegant restaurant is the stage of a moving encounter;2;Baudour;Belgium;50.4833038;3.8379089;Eric Fernez;Classic French
Slagmolen;This characterful restaurant is located in a watermill, whose old;2;Opglabbeek;Belgium;51.0431658;5.6159232;Bert Meewis;Traditional Cuisine
L'Eau Vive;Imagine a romantic dinner on a riverside terrace surrounded by;2;Arbre;Belgium;50.3636851;4.8469885;Pierre Résimont;Modern French
De Jonkman;A pretty Flemish villa on the approach to Bruges, where;2;Sint-Kruis;Belgium;51.207236;3.2777835;Filip Claeys;Creative
Cuchara;Taste comes first in this restaurant. The chef’s creativity;2;Lommel;Belgium;51.2309534;5.3097212;Jan Tournier;Creative
La Table de Maxime;This establishment is without doubt smart and elegant, but it;2;Our;Belgium;49.959957;5.122613;Maxime Collard;Modern Cuisine
Hostellerie Le Fox;The tastefully classical repertory, mingling tasty regional dishes and fresh;2;De Panne;Belgium;51.1035368;2.591914;Stephane Buyens;Creative French
Comme chez Soi;This Brussels institution was founded in 1926. The menu features;2;Brussels;Belgium;50.8423511;4.3459079;Lionel Rigolet;Classic Cuisine
Château du Mylord;This elegant Anglo - Norman inspired manor (1861) has lost none;2;Ellezelles;Belgium;50.7298541;3.6736201;Jean-Baptiste Thomaes;Contemporary
Castor;Purity is the name of the game at the Castor;2;Beveren-Leie;Belgium;50.8720569;3.3430165;Maarten Bouckaert;Modern French
Boury;Welcome to the Boury 2. 0, which combines a tastefully;2;Roeselare;Belgium;50.9374466;3.1403981;Tim Boury;Creative French
Bon Bon;Christophe Hardiquest invites you on an adventure. A quest for;2;Woluwe-Saint-Pierre;Belgium;50.822776;4.44663;Christophe Hardiquest;Creative
Zilte;Zilte aims to bring you an emotional dining experience. Savour;3;Antwerpen;Belgium;51.2287189;4.4049639;Viki Geunes;Creative
Vrijmoed;This smart, contemporary town house is the location for Michaël;2;Gent;Belgium;51.0511061;3.7288256;Michaël Vrijmoed;Creative
The Jane;This striking chapel, now a trend-setting temple, is unique;2;Antwerpen;Belgium;51.2023273;4.4233593;Nick Bril;Creative
Ralf Berendsen;The ingredient is the source of chef Berendsen’s authentic;2;Neerharen;Belgium;50.9152264;5.6676398;Ralf Berendsen;Creative
La Paix;A remarkable flock of origami birds hanging from the ceiling;2;Anderlecht;Belgium;50.8437035;4.3281195;David Martin;Asian Influences
Pastorale;Works of art enhance the Pastorale’s setting and Arne;2;Reet;Belgium;51.1008376;4.4152963;Bart De Pooter;Creative
Nuance;Designer elegance depicts the pleasant interior that awaits you in;2;Duffel;Belgium;51.0957136;4.505835;Thierry Theys;Creative
Le Chalet de la Forêt;This chalet with its lovely terrace, set on the edge;2;Uccle;Belgium;50.7842411;4.3868414;Pascal Devalkeneer;Creative
La Durée;Angelo Rosseel’s flair and technical prowess have enabled him;2;Izegem;Belgium;50.9120191;3.1957708;Angelo Rosseel;Creative
L'Air du Temps;This old farmstead has been tastefully modernised and each building;2;Liernu;Belgium;50.5927328;4.8329862;Sang Hoon Degeimbre;Creative
Hostellerie St-Nicolas;Elverdinge is well - known among Belgian gourmets and has become;2;Elverdinge;Belgium;50.8857292;2.818281;Franky Vanderhaeghe;Creative
Hof van Cleve;Hof van Cleve is an experience in a class of;3;Kruishoutem;Belgium;50.9039501;3.5098648;Peter Goossens;Creative
